Row.names,Environment,Type,Invader_Type,Resident_Type
NDDUKK2,Media,Resident_Control,Killed,U
NDDUKK3,Media,Resident_Control,Killed,U
NDDULF1,Media,Final_Invaded,D,U
NDDULF2,Media,Final_Invaded,D,U
NDDULF3,Media,Final_Invaded,D,U
NDDULO1,Media,Final_Invaded,D,U
NDDULO2,Media,Final_Invaded,D,U
NDDULO3,Media,Final_Invaded,D,U
NDPUHF1,Media,Final_Invaded,P,U
NDPUHF2,Media,Final_Invaded,P,U
NDPUHF3,Media,Final_Invaded,P,U
NDPUHO1,Media,Final_Invaded,P,U
NDPUHO2,Media,Final_Invaded,P,U
NDPUHO3,Media,Final_Invaded,P,U
NDPUKK1,Media,Resident_Control,Killed,U
NDPUKK2,Media,Resident_Control,Killed,U
NDPUKK3,Media,Resident_Control,Killed,U
NDPULF1,Media,Final_Invaded,P,U
NDPULF2,Media,Final_Invaded,P,U
NDPULF3,Media,Final_Invaded,P,U
NDPULO1,Media,Final_Invaded,P,U
NDPULO3,Media,Final_Invaded,P,U
NDUUHF1,Media,Resident_Control,U,U
NDUUHF2,Media,Resident_Control,U,U
NDUUHF3,Media,Resident_Control,U,U
NDUUHO1,Media,Resident_Control,U,U
NDUUHO2,Media,Resident_Control,U,U
NDUUHO3,Media,Resident_Control,U,U
NDUUKK1,Media,Resident_Control,Killed,U
NDUUKK2,Media,Resident_Control,Killed,U
NDUUKK3,Media,Resident_Control,Killed,U
NDUULF2,Media,Resident_Control,U,U
NDUULF3,Media,Resident_Control,U,U
NDUULO1,Media,Resident_Control,U,U
NDUULO2,Media,Resident_Control,U,U
NDUULO3,Media,Resident_Control,U,U
